ipr_accession	ipr_description	ENTRY_TYPE	represents_family
IPR000232	"Heat shock factor (HSF)-type, DNA-binding"	Domain	HSF
IPR000327	POU-specific domain	Domain	POU
IPR000418	Ets domain	Domain	Ets
IPR000571	"Zinc finger, CCCH-type"	Domain	CCCH ZF
IPR000637	"HMG-I/HMG-Y, DNA-binding, conserved site"	Conserved_site	AT hook
IPR000679	"Zinc finger, GATA-type"	Domain	GATA
IPR000747	Homeobox domain engrailed	Domain	Homeodomain
IPR000770	SAND domain	Domain	SAND
IPR000814	TATA-box binding protein	Domain_Family	TBP
IPR000818	TEA/ATTS domain	Domain	TEA
IPR000967	"Zinc finger, NF-X1-type"	Domain	NFX
IPR001005	SANT/Myb domain	Domain	Myb/SANT
IPR001275	DM DNA-binding domain	Domain	DM
IPR001289	Nuclear transcription factor Y subunit A	Domain_Family	CBF/NF-Y
IPR001346	Interferon regulatory factor DNA-binding domain	Domain	IRF
IPR001356	Homeobox domain	Domain	Homeodomain
IPR001523	Paired domain	Domain	Paired box
IPR001606	ARID DNA-binding domain	Domain	ARID/BRIGHT
IPR001628	"Zinc finger, nuclear hormone receptor-type"	Domain	Nuclear receptor
IPR001699	"Transcription factor, T-box"	Domain_Family	T-box
IPR001739	Methyl-CpG DNA binding	Domain	MBD
IPR001766	Fork head domain	Domain	Forkhead
IPR002059	"Cold-shock protein, DNA-binding"	Domain	CSD
IPR002100	"Transcription factor, MADS-box"	Domain	MADS box
IPR002515	"Zinc finger, C2H2C-type"	Repeat	C2H2 ZF
IPR002857	"Zinc finger, CXXC-type"	Domain	CxxC ZF
IPR003150	DNA-binding RFX-type winged-helix domain	Domain	RFX
IPR003166	"Transcription factor TFIIE beta subunit, DNA-binding domain"	Domain	None
IPR003316	"E2F/DP family, winged-helix DNA-binding domain"	Domain	E2F
IPR003350	CUT domain	Domain	CUT
IPR003604	"Matrin/U1-C-like, C2H2-type zinc finger"	Domain	C2H2 ZF
IPR003619	"MAD homology 1, Dwarfin-type"	Domain	SMAD
IPR003656	"Zinc finger, BED-type"	Domain	BED ZF
IPR003902	Transcription regulator GCM domain	Domain	GCM
IPR004826	"Basic leucine zipper domain, Maf-type"	Domain	bZIP
IPR004827	Basic-leucine zipper domain	Domain	bZIP
